ncl,ra,dec,v,r,vel disp,mlum,mvir
1,12 01 55.36,-18 52 49,1414,130,21,160000000,26000000
2,12 01 55.53,-18 52 47,1514,242,22,300000000,53000000
3,12 01 55.37,-18 52 48,1374,157,22,150000000,34000000
4,12 01 55.42,-18 52 49,1504,126,16,130000000,15000000
5,12 01 55.53,-18 52 45,1364,162,14,82000000,14000000
6,12 01 55.50,-18 52 45,1394,146,35,82000000,81000000
7,12 01 55.30,-18 52 51,1464,180,25,49000000,51000000
8,12 01 55.38,-18 52 48,1464,130,27,44000000,44000000
9,12 01 55.48,-18 52 52,1474,110,16,15000000,14000000
10,12 01 55.38,-18 52 51,1364,151,18,24000000,23000000
11,12 01 54.96,-18 52 53,1464,181,21,300000000,35000000
12,12 01 54.74,-18 52 52,1444,205,24,240000000,54000000
13,12 01 54.78,-18 52 55,1604,185,29,120000000,70000000
14,12 01 54.78,-18 52 53,1524,116,28,50000000,40000000
15,12 01 54.77,-18 52 53,1544,190,34,66000000,98000000
16,12 01 54.77,-18 52 57,1644,92,9,26000000,3400000
17,12 01 55.01,-18 52 53,1564,139,33,36000000,70000000
18,12 01 55.12,-18 52 54,1504,153,22,77000000,32000000
19,12 01 55.00,-18 53 06,1494,239,31,300000000,100000000
20,12 01 54.92,-18 53 03,1554,208,28,150000000,72000000
21,12 01 55.09,-18 53 02,1514,129,12,40000000,8700000
22,12 01 54.68,-18 53 03,1454,263,17,63000000,34000000
23,12 01 54.89,-18 53 00,1584,143,11,35000000,8100000
24,12 01 54.92,-18 53 00,1514,137,20,51000000,25000000
25,12 01 55.02,-18 53 01,1504,105,22,44000000,23000000
26,12 01 54.96,-18 53 08,1614,243,13,60000000,19000000
27,12 01 54.96,-18 53 08,1584,203,36,49000000,120000000
28,12 01 54.66,-18 53 05,1474,226,31,73000000,99000000
29,12 01 55.18,-18 52 40,1574,348,15,190000000,34000000
30,12 01 54.66,-18 52 45,1584,251,21,78000000,49000000
31,12 01 54.44,-18 52 43,1614,147,9,13000000,5700000
32,12 01 54.26,-18 53 08,1414,132,16,46000000,15000000
33,12 01 54.33,-18 53 08,1454,203,15,71000000,21000000
34,12 01 53.16,-18 52 02,1624,256,29,610000000,100000000
35,12 01 53.22,-18 52 04,1584,199,24,340000000,50000000
36,12 01 53.17,-18 52 06,1624,273,26,310000000,85000000
37,12 01 53.49,-18 52 06,1634,218,25,46000000,60000000
38,12 01 52.61,-18 51 59,1714,93,10,16000000,4200000
39,12 01 53.26,-18 52 04,1674,225,22,76000000,48000000
40,12 01 52.97,-18 51 60,1634,206,27,42000000,68000000
41,12 01 53.18,-18 52 06,1684,217,12,30000000,14000000
42,12 01 52.85,-18 52 06,1634,180,13,31000000,15000000
43,12 01 52.76,-18 52 07,1634,89,6,13000000,1300000
44,12 01 53.65,-18 53 09,1604,190,31,210000000,81000000
45,12 01 53.32,-18 53 09,1604,107,31,120000000,46000000
46,12 01 53.33,-18 53 13,1624,122,18,57000000,18000000
47,12 01 53.65,-18 53 11,1684,130,28,74000000,45000000
48,12 01 53.21,-18 53 11,1644,120,28,81000000,44000000
49,12 01 53.45,-18 53 09,1584,178,33,100000000,86000000
50,12 01 53.16,-18 53 12,1704,85,16,26000000,10000000
51,12 01 53.17,-18 53 12,1684,113,24,52000000,28000000
52,12 01 53.25,-18 53 18,1724,142,20,22000000,26000000
53,12 01 53.36,-18 53 17,1704,120,10,28000000,5500000
54,12 01 53.81,-18 53 13,1644,156,19,33000000,26000000
55,12 01 53.34,-18 53 11,1604,119,17,31000000,15000000
56,12 01 53.06,-18 53 15,1704,111,12,19000000,7700000
57,12 01 53.28,-18 53 16,1684,115,18,21000000,16000000