ncl,vlsr,r,delta r,vel disp,delta vel disp,l,delta l,mlum,delta mlum,s/n,tb,omega shear,d
1,276,24,7.65,6.9,0.48,3.76,1.24,1880000,620000,5,7.7,0.52,667
4,279.6,22.16,5.54,5.42,0.55,2.35,0.7,1180000,350000,6.6,10.4,0.44,798
7,298.3,22.01,5.52,7.23,0.96,2.39,0.76,1200000,380000,5.7,8.1,0.56,599
9,297.2,29.6,6.81,7.25,0.63,5.75,1.35,2880000,680000,6.2,9,0.61,492
10,311,12.11,9.12,8.01,1.41,1.42,1.35,710000,680000,4.4,6.4,0.61,480
12,309,28.58,5.57,7.12,0.33,5.52,1.16,2770000,580000,7.3,10.2,0.63,424
13,323.3,31.38,5.24,7.81,0.86,5.84,1.08,2930000,540000,7.3,10.3,0.66,348
14,323.5,13.38,8.55,8.21,4,2.01,0.87,1010000,440000,5.1,7.4,0.59,543
15,333.7,18.72,5.54,9.56,2.32,3.18,0.87,1590000,440000,6.6,8.9,0.64,388
16,344,16.65,7.01,8.75,2.44,2,0.83,1000000,410000,5.8,7.8,0.76,293
19,330.3,10.48,7.41,8.53,1.5,1.47,0.64,740000,320000,5.5,7.9,0.66,360
20,337.5,7.57,11.12,6.44,1.74,0.96,0.97,480000,490000,3.9,5.9,0.68,336
24,342.7,27.14,5.62,9.2,1.74,3.3,1.2,1660000,600000,6.3,8.3,0.92,253
26,348.6,11.03,8.67,11.29,2.22,2.54,1.17,1270000,590000,5.8,7.5,0.63,424
36,400,14.17,7.71,8.71,1.98,1.74,1.07,870000,540000,4.7,6,0.61,480
39,404.8,5.09,3.84,8.64,4.37,1.16,0.74,580000,370000,5.1,6.7,0.64,404
40,411.9,14.23,10.6,7.97,0.79,2.07,0.96,1040000,480000,4.7,6.6,0.57,575
44,438.3,3.97,2.32,11.13,4.84,2.12,0.92,1060000,460000,5,6.1,0.63,412
49,438.9,20.86,12.06,7.54,1.05,1.01,1.02,510000,510000,4,5.7,0.66,352
51,438.3,15.56,9.04,8.15,2.9,2.15,0.89,1080000,450000,5.1,6.7,0.6,515
57,476.2,24.2,7.91,5.24,0.58,1.58,0.44,790000,220000,7,8.7,0.64,400
61,498.2,13.06,6.82,8.14,1.46,1.69,0.65,850000,330000,6.1,7.8,0.69,328
62,501.4,16.35,4.45,8.69,1.53,3.71,0.78,1860000,390000,6.3,8.4,0.59,539
65,516.4,4.81,4.63,7.68,2.81,1.23,0.66,620000,330000,4.9,6.2,0.62,456
68,547.7,13.11,7.85,5.32,0.62,0.75,0.62,380000,310000,5.5,7.5,0.63,412
71,568.7,30.45,6.64,8.86,0.78,4.73,1.29,2370000,650000,6.9,9.2,0.64,408
72,589.2,20.85,8.53,6.85,0.7,2.53,1.02,1270000,510000,5.3,6.8,0.66,360
73,617.6,28.75,5.81,8.78,1.47,4.44,1.12,2230000,560000,6.7,8.5,0.66,352
74,652.1,35.57,7.76,7.39,0.4,3.66,0.85,1830000,430000,6.2,7.6,0.65,376
75,678.3,24.23,7.49,6.09,1,2.12,0.54,1060000,270000,6.1,7.4,0.67,344
79,346,13.69,10.37,8.77,0.88,2.08,0.63,1040000,320000,5.9,7.7,0.59,539
81,389.1,15.94,9.44,9.78,2.32,1.37,0.74,680000,370000,5.1,6.3,10.19,34
82,484.1,11.91,3.7,27.46,14.38,2.99,0.74,1500000,370000,5.7,6.1,66.09,10
83,392.4,7.15,10.14,21.37,4.32,3.68,1.4,1840000,700000,5.6,7.2,4.81,62
89,407,7.4,8.05,9.74,3.26,0.97,0.99,480000,490000,4.1,5.1,1.23,205
91,468.4,22.44,7.7,8.84,0.95,2.93,2.14,1470000,1070000,4.4,5.8,0.49,718
93,496.9,15.65,9.28,8.13,1.88,1.72,0.93,860000,470000,4.6,5.7,0.6,511
94,518.7,28.93,4.8,8.6,4.43,6.95,1.21,3490000,610000,6.3,8.1,0.63,428
101,592.2,10.4,3.5,10.11,1.75,2.49,1.02,1250000,510000,6,7.3,0.59,519
102,599.4,10.79,6.53,9.9,3.39,2.01,0.63,1010000,320000,5.4,6.8,0.66,356
103,605.8,10.31,5.76,9.77,4.31,1.9,1.37,950000,690000,4.2,5.1,0.94,249
104,613,26.63,3.83,9.4,1.87,5.18,1.04,2600000,520000,6.7,8.5,0.62,448
105,642.6,25.11,5.5,9.09,2.51,4.05,1.37,2030000,690000,6,7.6,0.62,456
107,673.8,26.71,5.72,10.96,2.79,5.79,1.61,2900000,810000,6.6,8.6,0.66,356
109,673.4,8.33,2.62,10.66,2.05,3.05,1.24,1530000,620000,5.2,6.4,0.57,567
110,705.3,22.08,5.45,7.44,1.12,2.72,0.73,1360000,370000,6,7.4,0.56,595
112,717.5,18,6.26,9.7,3.46,2.48,0.76,1240000,380000,6,7.4,0.63,432
114,729.4,9.4,3.84,8.13,2.19,1.71,0.98,860000,490000,4.9,6.3,0.57,571
115,721.6,13.95,4.78,7.58,2.94,1.67,0.65,840000,320000,5.1,6.7,0.68,336
118,743.2,11.97,5.05,6.04,2.11,1.64,0.48,820000,240000,6.9,8.2,0.63,420
119,755.7,24.62,5.32,9.74,0.96,4.23,1.38,2120000,690000,5.4,6.8,0.57,583
122,757.3,12.94,5.2,7.37,2.13,1.59,0.82,800000,410000,5.8,7,0.69,328
124,770.7,28.88,4.07,12.26,1.55,7.41,1.21,3710000,610000,6.5,8,0.64,408
126,774.9,5.42,5.87,7.71,1.6,1.24,0.63,620000,320000,5.5,7.1,0.59,539
128,799.8,16.6,7.01,12.89,2.88,2.46,1.57,1230000,790000,5.1,6.4,0.62,464
132,810.8,18.09,6.67,7.96,2.62,2.59,1.12,1300000,560000,5.3,6.6,0.62,448
134,799.4,11.33,9.72,9.43,1.69,1.08,0.94,540000,470000,4.5,5.8,0.64,400
137,831.1,16.56,7.45,8.09,1.68,1.82,0.59,910000,290000,7.1,8.5,0.64,408
140,842.4,17.28,5.5,7.78,2.63,3.29,1.32,1650000,660000,5.1,6.5,0.63,416
142,850,22.62,9.21,8.24,0.38,2.6,0.97,1300000,490000,5.5,7,0.65,368
143,851.1,7.72,3.5,8.82,3.03,2.03,0.76,1020000,380000,5.7,7.8,0.55,611
144,871,28.91,6.62,12.68,3.94,3.88,0.82,1940000,410000,6.9,8.5,0.62,452
145,863.8,15.13,7.22,6.99,2.34,1.56,0.66,780000,330000,5.3,6.9,0.63,416
146,866.1,9.13,8.19,7.07,0.81,0.52,0.42,260000,210000,4.3,5.2,0.59,531
148,870.3,14.8,4.46,9.67,1.9,2.71,0.78,1360000,390000,6.3,8.1,0.64,404
156,888.9,20.54,4.93,8.82,1.8,3.35,0.95,1680000,480000,6,7.7,0.62,464
158,895.4,11.65,12.02,8.2,3.36,1.45,1.46,730000,730000,4.3,5.2,0.67,340
159,894.5,11.16,11.39,6.74,1.41,0.72,0.49,360000,240000,4.8,6,0.65,372
160,901.1,20.31,6.84,8.28,1.51,2.05,1.18,1030000,590000,4.8,6.4,0.6,511
161,899.7,14.47,5.63,7.9,1.29,2.11,0.75,1060000,370000,5.9,7.5,0.66,356
163,911.3,32.19,8.85,8.34,0.65,4.82,1.26,2420000,630000,6.8,8.6,0.64,396
164,908.7,12.07,6.58,6.88,0.89,1.46,0.66,730000,330000,5.7,7.4,0.69,328
165,914.9,19.38,7.56,9.04,2.19,2.91,0.78,1460000,390000,6.2,7.7,0.65,376
166,915.2,17.13,5.09,9.07,2.33,2.22,1.15,1110000,580000,5.5,7.2,0.63,432
169,926,34.21,5.34,8.1,1.94,7.55,1.4,3780000,700000,7.4,9.9,0.62,452
170,942.1,11.31,7.66,5.52,0.88,0.81,0.49,410000,240000,4.7,6.3,0.59,519
171,935.2,40.49,4.13,8.27,1.17,11.74,1.5,5880000,750000,7.5,10,0.62,464
174,517.5,18.22,13.15,6.92,0.7,1.4,0.83,700000,410000,4.8,6.4,0.51,695
177,558.7,12.82,8.86,6.72,1.45,1.47,0.52,740000,260000,5.6,7.5,0.47,746
182,583.1,15.26,8.12,7.36,0.34,2.5,1.45,1260000,730000,4.6,5.9,0.47,762
184,622.2,20.9,7.48,5.85,0.57,1.22,0.41,610000,200000,6.7,8.5,0.48,734
187,647.3,19.8,8.51,6.65,0.53,1.65,0.83,830000,420000,5.2,6.4,0.41,874
188,651,24.78,14.45,6.14,0.4,1.59,0.85,800000,430000,5.2,6.3,0.48,730
195,725.9,11.81,12.8,5.47,0.66,1.07,0.63,540000,320000,4.6,5.8,0.48,730
200,729.9,10.79,4.11,8.76,1.58,2.62,0.61,1310000,310000,6.9,9,0.64,388
201,765.2,19.48,5.53,8.39,3.2,2.82,0.69,1410000,350000,6.2,7.9,0.63,412
202,775.6,24.42,7.13,7.82,0.3,2.56,0.99,1280000,500000,5.1,6.4,0.44,798
205,800.7,3.81,7.43,9.79,1.45,1.62,0.54,810000,270000,6,7,1.17,213
207,842.5,18.73,6.5,13.69,2.56,2.84,1.05,1420000,520000,6.2,7,7.28,42
209,881.1,11.94,9.34,12.73,4.74,1.44,0.82,720000,410000,5.6,6.3,5.5,54
210,820.1,8.32,10.36,8.48,4.38,1.78,0.94,890000,470000,5.1,6.5,0.46,766
213,888.1,5.87,3.52,10.37,2.64,1.79,0.59,900000,300000,5.6,6.7,1.3,197
217,903.5,22.42,5.85,8.29,2.69,2.62,0.79,1310000,400000,6.2,7.6,1.11,221
223,886.5,15.45,5.42,6.79,1.2,2.05,0.79,1030000,390000,6.3,8.6,0.52,679
230,910.8,14.1,7.89,9.83,1.75,1.89,0.93,950000,470000,5.4,7.5,0.46,778
231,929.8,33.24,7.35,8.17,1.68,6.04,1.46,3030000,730000,5.9,8.2,0.52,683
232,947.9,15.98,13.31,5.45,0.71,0.73,0.69,370000,340000,4.1,5.7,0.52,679
233,951.6,16.06,8.85,7.39,0.86,2,0.83,1000000,410000,5.3,7.4,0.56,599
234,948.7,15.31,4.96,6.28,0.81,2.41,0.73,1210000,370000,6.2,8.8,0.54,647
235,953.3,17.75,8.09,7.01,1.39,1.83,0.76,920000,380000,5.3,7.8,0.55,623
237,928.8,27.06,11.64,7.58,0.69,4.11,1.34,2060000,670000,4.8,7,0.47,746
240,957.5,30.47,12.89,6.47,0.33,2.58,1.02,1290000,510000,5.5,8.1,0.46,774
