# i,l,b,v,rg,d,sigv r,lco,mlte,sig2 r2,lco2,mlte2
64,18.87,-0.01,47.6,5,12.2,2.6  40.6,1.32E+05,3.23E+05,2.0   5.5,3.46E+03,2.88E+04
67,19.22,-0.23,37.2,6,13.3,1.5  42.2,8.27E+04,7.86E+04,1.7   5.0,8.94E+02,4.88E+03
68,19.31,0.03,26,6.5,2.2,1.9   6.9,3.91E+03,1.41E+04,2.0   0.8,5.58E+01,8.98E+02
70,19.61,-0.08,60.6,4.7,4.2,3.0   9.7,8.28E+03,1.31E+04,2.6   2.3,4.83E+02,2.74E+03
71,19.63,-0.66,56.7,4.9,4.1,2.2  10.3,8.47E+03,1.89E+04,2.2   3.1,8.70E+02,4.47E+03
72,19.67,0.11,25,6.5,13.8,2.4  41.3,1.23E+05,2.61E+05,2.2   9.6,7.17E+03,3.54E+04
73,19.78,-0.64,23.8,6.7,2,1.3   4.6,8.42E+02,2.77E+03,0.9   0.5,7.73E+00,6.48E+02
74,19.81,-0.39,68.2,4.3,4.7,2.7  32.1,6.30E+04,1.10E+05,2.3   2.3,4.00E+02,3.50E+03
75,19.9,-0.62,44.1,5.4,3.4,2.8  23.2,5.91E+04,1.28E+05,2.3   1.6,3.39E+02,3.64E+03
77,20.58,-0.42,63.3,4.5,11.3,2.9  33.8,6.20E+04,1.21E+05,2.5   2.9,2.60E+02,9.78E+03
78,20.69,-0.32,62.8,4.7,11.5,1.9  22.8,4.10E+04,7.85E+04,1.7   5.2,3.41E+03,1.95E+04
79,20.76,-0.09,57.8,4.8,11.7,3.1  27.1,9.12E+04,1.89E+05,2.6   4.4,3.29E+03,2.48E+04
80,20.75,0.05,78.2,4.2,5,3.1  16.7,1.75E+04,1.95E+04,3.0   4.4,1.98E+03,4.92E+03
81,20.87,-0.02,32.3,6.3,13.5,4.0  45.0,1.41E+05,2.33E+05,3.7  11.7,1.34E+04,4.72E+04
82,20.91,-0.31,66.3,4.5,4.6,1.4  15.3,1.61E+04,1.01E+04,1.5   6.1,2.08E+03,4.63E+03
84,21.54,-0.64,53.5,5.1,3.9,2.0  23.7,3.56E+04,4.92E+04,1.6   0.3,9.61E+00,3.76E+02
85,21.71,-0.02,68.3,4.6,4.5,1.9  18.1,2.31E+04,2.41E+04,2.0   5.3,2.31E+03,6.94E+03
86,21.36,0,74.4,4.3,10.9,1.7  32.0,7.85E+04,1.19E+05,1.7   6.7,4.28E+03,1.86E+04
87,21.52,0.26,78.8,4.3,5,2.2   7.5,4.24E+03,3.50E+03,2.0   1.8,2.59E+02,6.73E+02
88,21.87,-0.36,82.2,4.2,10.6,2.8  46.0,2.04E+05,2.02E+05,2.5   6.0,3.29E+03,1.54E+04
89,22.07,0.17,51.7,5.3,3.6,2.8  22.9,3.69E+04,6.19E+04,1.8   2.0,4.19E+02,2.62E+03
90,22.34,0.08,84.2,4.1,10.4,1.9  18.4,4.62E+04,5.83E+04,1.8   2.0,3.84E+02,4.51E+03
91,22.41,0.33,84.5,4.1,10.4,1.1  17.1,3.66E+04,4.43E+04,1.2   6.9,3.92E+03,2.82E+04
92,22.54,-0.04,115.1,3.3,7.9,0.5  10.6,1.03E+04,3.44E+03,0.5   1.7,1.16E+02,4.63E+02
93,22.56,-0.2,77.4,4.4,10.8,3.1  11.4,3.32E+04,9.20E+04,3.1   8.8,1.27E+04,6.52E+04
94,22.74,-0.24,106.3,3.4,8.7,2.8  16.0,2.26E+04,5.55E+04,3.2   1.2,1.04E+02,2.32E+03
95,22.81,0.41,91.9,3.9,10,2.3  19.8,4.58E+04,3.97E+04,2.5  12.8,1.72E+04,2.92E+04
96,22.86,0.4,114.1,3.3,7.8,2.0   6.4,9.59E+03,5.32E+03,2.1   3.9,1.15E+03,3.47E+03
97,23,-0.36,76.6,4.5,10.9,2.3  83.4,1.33E+06,2.08E+06,2.2   5.6,6.26E+03,4.99E+04
98,22.97,-0.02,80.2,4.3,10.6,1.6  28.2,1.47E+05,1.21E+05,1.5   2.2,3.27E+02,4.54E+03
99,23.07,0.64,37.2,6.1,2.8,0.8   8.8,1.60E+03,6.68E+03,0.5   0.6,1.21E+01,7.40E+02
100,23.39,-0.23,99.6,3.7,9.3,4.6  23.3,9.70E+04,4.13E+05,4.1   3.0,2.63E+03,3.22E+04
101,23.51,-0.4,74.9,4.6,4.7,1.5  11.6,1.99E+04,1.45E+04,1.6   5.3,2.50E+03,7.03E+03
102,23.55,0.19,87.3,4.3,10.5,5.9  29.8,1.47E+05,4.18E+05,5.8  12.2,3.84E+04,1.35E+05
103,23.68,0.52,83.2,4.3,5.1,2.0   9.7,4.22E+03,5.81E+03,1.9   2.8,7.86E+02,2.45E+03
105,23.96,0.14,80.9,4.5,5,2.1   8.2,1.12E+04,2.10E+04,2.2   2.2,6.33E+02,4.56E+03
106,24.21,-0.04,88.4,4.2,10.1,1.8  22.7,6.06E+04,8.19E+04,2.1   3.8,1.77E+03,9.05E+03
107,24.45,-0.8,58.4,5.3,3.8,1.6   5.7,3.15E+03,4.55E+03,1.9   3.9,1.35E+03,3.57E+03
109,24.49,0.2,36.4,6.2,12.8,1.7  25.4,3.54E+04,5.27E+04,2.1   7.8,4.99E+03,2.12E+04
110,24.39,-0.24,56.1,5.1,11.5,2.7  19.3,3.62E+04,1.19E+05,2.6  10.5,1.49E+04,6.43E+04
111,24.5,-0.15,44.9,5.9,3.1,1.7   9.7,1.24E+04,2.48E+04,1.9   2.5,7.56E+02,4.02E+03
112,24.42,-0.41,44.3,5.9,3.1,0.9  20.2,2.72E+04,3.77E+04,1.1   0.4,5.76E+00,2.47E+02
113,24.49,-0.72,48.6,5.7,3.2,1.0   9.1,5.09E+03,7.69E+03,1.0   1.2,6.61E+01,6.19E+02
114,24.51,-0.23,96.6,3.9,9.3,2.5  26.4,6.83E+04,1.16E+05,2.5   5.4,4.48E+03,2.06E+04
115,24.54,-0.5,60.6,5.1,4,1.9  12.0,1.78E+04,4.17E+04,2.0   5.8,3.30E+03,1.76E+04
116,24.63,-0.14,83.8,4.4,10.3,2.1  25.8,8.20E+04,6.89E+04,2.6   5.8,3.69E+03,1.16E+04
117,24.67,-0.05,110.3,3.5,7.7,3.0  26.3,3.70E+04,1.13E+05,2.1   1.4,1.50E+02,9.43E+03
118,25.18,0.16,103.1,3.8,9,3.9  23.3,8.08E+04,1.19E+05,3.4   4.5,2.60E+03,1.32E+04
119,25.27,0.33,45.1,5.8,12.2,1.8  34.7,1.06E+05,9.07E+04,1.3   1.5,8.48E+01,4.16E+03
120,25.54,-0.39,116.3,3.7,7.7,1.8   7.3,3.75E+03,4.40E+03,1.7   3.4,5.34E+02,2.24E+03
121,25.4,-0.24,58.2,5,11.2,4.1  52.0,1.58E+05,5.94E+05,3.3   1.4,1.77E+02,4.75E+03
122,25.63,-0.11,94.2,4.2,9.7,2.5  53.7,4.07E+05,5.52E+05,2.2   8.0,7.84E+03,5.20E+04
123,25.54,-0.21,118.1,3.7,7.7,1.7  16.3,1.12E+04,1.87E+04,1.3   1.7,2.07E+02,1.73E+03
124,25.79,0.56,46.3,5.8,3.2,1.8  17.9,1.04E+04,3.16E+04,1.8   6.0,2.22E+03,8.27E+03
125,25.72,0.24,110.7,3.8,8.5,2.0  42.7,1.92E+05,1.50E+05,2.0   5.3,3.82E+03,2.12E+04
126,25.91,0.22,69.6,4.9,4.4,1.3   7.2,4.09E+03,3.55E+03,1.5   2.8,3.33E+02,1.05E+03
127,25.71,-0.15,106.3,3.8,8.5,2.1  34.0,6.78E+04,1.15E+05,2.1   3.7,1.26E+03,4.39E+03
128,25.9,-0.13,104.8,3.9,8.7,2.5  37.4,1.75E+05,2.06E+05,3.1   7.0,4.33E+03,1.68E+04
129,25.96,-0.57,62,5.2,4.1,1.4   9.6,4.51E+03,4.14E+03,1.5   3.2,4.26E+02,1.11E+03
130,26.18,0.13,70.5,4.9,4.5,1.5  12.8,7.88E+03,1.02E+04,1.5   5.9,2.05E+03,5.45E+03
131,26.35,0.79,47.1,5.9,3.1,1.2   8.4,2.91E+03,7.04E+03,1.7   0.4,3.28E+00,1.12E+02
133,26.55,-0.31,107.7,3.9,8.5,2.0  16.1,2.59E+04,4.48E+04,1.9   1.8,2.82E+02,3.13E+03
134,26.6,0.01,26.8,7,13.4,2.5  25.8,9.47E+04,1.49E+05,2.8   3.6,1.35E+03,1.02E+04
135,26.66,0.01,99.6,4.1,9.1,3.3  38.5,1.40E+05,8.11E+04,3.0  11.4,1.38E+04,1.87E+04
136,26.68,0.52,87.2,4.5,5.2,1.6  12.2,6.62E+03,7.88E+03,1.7   1.6,1.40E+02,9.37E+02
137,26.68,0.01,111.2,3.8,7.6,1.0  12.5,9.75E+03,6.97E+03,1.1   3.3,6.31E+02,2.14E+03
138,26.93,0.13,92.4,4.4,5.5,1.7  16.9,2.38E+04,3.05E+04,1.6   1.8,2.24E+02,1.38E+03
139,27,-0.39,68.1,5,4.3,1.8   6.1,2.45E+03,2.55E+03,1.8   2.8,5.81E+02,1.34E+03
140,26.9,-0.11,79.8,4.7,5,1.6  17.7,9.50E+03,1.42E+04,1.9   3.2,7.61E+02,2.85E+03
141,27.04,-0.15,102.8,4.1,9,1.4  14.8,2.18E+04,1.85E+04,1.4   3.0,5.08E+02,2.72E+03
142,27.24,0.14,33.3,6.6,12.9,2.6  29.0,8.54E+04,1.32E+05,2.4   5.1,2.83E+03,2.46E+04
143,27.32,-0.28,74.2,5,4.5,3.2  10.5,7.50E+03,6.45E+03,2.6   3.4,8.48E+02,1.81E+03
144,27.35,-0.15,92.4,4.4,5.6,1.6   9.2,1.13E+04,1.66E+04,1.5   1.1,1.26E+02,1.54E+03
145,27.52,0.21,35.4,6.5,12.7,1.0  17.0,2.46E+04,1.88E+04,1.1   2.6,5.75E+02,2.21E+03
146,27.5,0.14,97.5,4.3,9.3,3.6  23.3,8.86E+04,1.55E+05,4.1  10.4,1.78E+04,5.47E+04
147,27.63,0.1,82.9,4.7,5.1,1.5  15.0,1.71E+04,2.19E+04,1.8   0.7,3.15E+01,5.57E+02
148,27.73,0.1,98.3,4.2,8.9,3.7  37.2,1.20E+05,2.48E+05,3.4   9.9,1.29E+04,4.72E+04
149,28.19,-0.04,97.8,4.4,9.2,1.3  19.5,8.26E+04,8.32E+04,1.5   3.4,1.27E+03,9.21E+03
150,28.24,-0.38,45.9,6,3,1.8  13.8,9.51E+03,2.60E+04,2.0   0.7,3.54E+01,5.92E+02
151,28.32,-0.06,78,4.8,5,3.5  24.3,9.22E+04,2.23E+05,3.3   4.7,4.07E+03,1.70E+04
152,28.61,0.05,101.3,4.3,8.8,4.1  26.5,1.48E+05,2.16E+05,4.4   4.4,4.24E+03,1.87E+04
153,28.79,0.19,81.9,4.9,10.1,3.2  16.6,5.08E+04,6.74E+04,3.1   8.1,8.35E+03,3.04E+04
154,28.8,-0.26,87.7,4.6,5.3,0.8  16.3,5.09E+04,3.15E+04,1.1   2.2,5.95E+02,4.21E+03
155,28.98,-0.27,93.9,4.5,5.7,2.5  31.6,7.30E+04,1.82E+05,3.5   3.4,1.94E+03,1.47E+04
156,28.99,-0.67,51.1,5.9,3.3,1.9   9.4,4.26E+03,9.35E+03,1.6   1.6,1.66E+02,1.73E+03
157,29.35,-0.46,78.7,5,4.7,2.5  23.8,7.22E+04,9.68E+04,2.8   1.3,4.46E+02,1.98E+03
158,29.01,0.05,96.9,4.4,8.9,2.9  41.1,1.90E+05,3.74E+05,3.0   3.5,1.64E+03,7.12E+03
159,29.32,-0.57,63.9,5.4,4,1.7  14.0,1.49E+04,2.82E+04,1.8   4.5,1.36E+03,7.51E+03
160,29.5,0.17,79.6,4.9,4.8,2.4  19.9,3.31E+04,5.87E+04,2.4   8.5,9.00E+03,2.87E+04
161,29.61,-0.61,75.6,5,10.2,2.9  40.8,1.45E+05,2.69E+05,2.0   6.1,2.54E+03,2.67E+04
162,29.89,-0.06,99,4.4,8.5,4.5  34.9,2.81E+05,8.28E+05,4.1   6.0,1.14E+04,1.17E+05
163,29.9,0.1,39.3,6.4,12.2,2.1  12.9,1.75E+04,3.45E+04,2.0   7.0,3.33E+03,1.56E+04
164,29.91,-0.77,83.7,4.8,5.1,1.1  13.2,6.72E+03,2.04E+04,1.2   0.9,3.96E+01,1.44E+03
165,30.41,0.46,45.1,6.2,2.8,1.2   5.0,1.39E+03,1.67E+03,1.4   1.4,1.45E+02,6.63E+02
167,30.56,0.32,92.2,4.5,8.7,1.9  26.1,9.42E+04,8.70E+04,1.9   2.5,3.05E+02,2.37E+03
168,30.57,-0.02,40.8,6.3,11.9,2.9  44.7,1.47E+05,2.69E+05,3.0   2.8,8.95E+02,1.07E+04
169,30.61,-0.45,94,4.6,8.8,2.4  14.4,4.99E+04,3.35E+04,2.5   8.6,1.18E+04,3.81E+04
170,30.59,-0.11,115.5,4.3,7.3,0.8  19.4,3.54E+04,3.17E+04,1.1   1.7,1.67E+02,1.90E+03
171,30.77,-0.01,94.2,4.6,5.7,6.8  41.8,3.17E+05,1.10E+06,5.7   5.2,1.11E+04,7.59E+04
172,30.83,-0.18,51.6,5.9,3.3,1.8   8.8,3.06E+03,6.90E+03,1.5   0.4,6.16E+00,3.12E+02
173,30.89,-0.6,102,4.4,7.9,0.7   8.4,6.67E+03,2.61E+03,0.9   2.2,3.23E+02,7.74E+02
174,30.96,0.09,39.5,6.5,12.1,3.3  36.2,1.30E+05,2.22E+05,2.1   3.3,1.07E+03,6.60E+03
175,30.97,0.4,79.7,5.1,4.7,2.6  12.5,2.13E+04,3.96E+04,2.3   1.1,1.04E+02,1.08E+03
177,31.28,0,79.7,5,4.9,3.2  14.7,2.66E+04,4.84E+04,3.2   5.4,3.96E+03,1.48E+04
178,31.32,-0.03,41,6.6,12.1,3.7  58.6,2.43E+05,5.06E+05,3.5   7.7,5.88E+03,4.31E+04
179,31.39,-0.26,87.9,4.8,9.1,1.6  13.6,1.84E+04,1.63E+04,1.7   2.8,6.69E+02,4.06E+03
180,31.44,0.08,106,4.4,7.3,2.6  21.9,6.62E+04,8.94E+04,3.0   3.2,1.77E+03,1.31E+04
181,31.98,-0.28,97.5,4.6,8.1,2.5  19.0,3.62E+04,3.08E+04,2.6   7.4,5.03E+03,1.28E+04
182,32.02,0.06,96.8,4.6,8,2.1  37.7,8.93E+04,1.57E+05,2.5   3.3,1.91E+03,1.54E+04
183,32.46,0.22,50.6,6.1,11.2,1.4  15.0,2.20E+04,4.02E+04,1.5   2.0,2.40E+02,3.39E+03
184,32.7,-0.18,92.5,4.8,8.6,1.7  44.4,1.58E+05,1.38E+05,1.5   3.0,7.47E+02,5.32E+03
185,33.38,-0.53,91.2,4.8,8.2,1.6  23.0,2.24E+04,2.81E+04,1.5   6.3,2.41E+03,8.63E+03
186,33.36,0,72.9,5.3,9.6,2.4  34.0,8.36E+04,1.06E+05,2.2   5.5,3.46E+03,9.11E+03
187,33.44,-0.08,86.5,4.9,8.7,2.2  35.7,8.99E+04,1.14E+05,2.2  11.4,9.66E+03,2.40E+04
188,33.79,-0.18,52.4,6.3,11.2,3.4  32.9,6.16E+04,1.16E+05,3.1   5.6,2.71E+03,1.16E+04
189,33.66,0.22,41.7,6.5,11.6,1.5  21.3,2.41E+04,3.11E+04,1.2   3.3,4.22E+02,3.04E+03
190,33.85,0,89.2,4.9,8.4,1.2  19.9,3.48E+04,2.48E+04,1.2  12.1,8.33E+03,1.44E+04
191,33.83,0.07,105.6,4.7,7.1,2.2  30.1,6.69E+04,7.76E+04,2.0   2.1,4.74E+02,2.83E+03
192,34.16,-0.1,88.1,4.9,8.3,2.1  21.5,4.01E+04,3.56E+04,1.9   6.0,2.26E+03,9.18E+03
193,34.2,0.12,57.5,6.1,3.2,2.8  18.1,3.00E+04,1.07E+05,2.8   1.4,1.68E+02,1.70E+04
195,34.36,-0.19,52.2,6.1,3.2,2.3   7.6,3.37E+03,7.86E+03,2.3   2.7,5.94E+02,2.58E+03
196,34.76,-0.13,78.9,5.3,4.8,3.3  16.1,1.59E+04,3.37E+04,3.6   3.7,1.32E+03,5.67E+03
198,34.99,0.33,51.8,6.2,3.1,1.0  15.7,2.31E+04,3.60E+04,1.3   0.7,4.54E+01,8.03E+02
202,35.66,0.15,81.7,5.2,8.5,2.7  36.0,9.81E+04,1.43E+05,2.2   2.1,3.41E+02,4.21E+03
203,35.79,-0.16,28.8,7.2,1.7,1.2  12.8,3.80E+03,7.76E+03,0.9   0.6,6.14E+00,5.66E+02
204,35.97,-0.48,58.7,6,3.5,1.7   6.4,3.69E+03,4.50E+03,1.6   2.5,4.44E+02,2.00E+03
205,36.13,0.66,77.5,5.4,4.9,3.6  31.7,5.58E+04,7.36E+04,2.2   1.5,1.91E+02,1.30E+03
206,36.42,-0.1,54.8,6.3,3.1,2.0  17.2,2.74E+04,5.13E+04,1.8   3.6,9.23E+02,5.00E+03
207,36.49,-0.11,78.6,5.4,4.9,3.1  25.3,3.51E+04,5.95E+04,2.3   2.0,2.90E+02,2.10E+03
208,36.9,-0.07,79.9,5.3,5.2,2.2  13.9,1.81E+04,3.66E+04,2.1   6.4,4.24E+03,1.58E+04
209,37.38,0.17,87.2,5.2,6.8,3.1  31.8,7.05E+04,1.24E+05,2.7   1.4,1.02E+02,5.27E+03
210,37.49,0.08,41.9,6.7,2.4,1.6   6.4,1.92E+03,2.95E+03,0.9   0.5,3.97E+00,2.92E+02
211,37.76,-0.21,62.8,6,9.8,3.4  20.8,5.01E+04,7.71E+04,3.1   3.2,1.14E+03,8.41E+03
212,38.23,-0.15,62.9,5.9,9.3,2.7  10.8,2.13E+04,3.16E+04,2.9   5.1,2.78E+03,1.38E+04
213,38.93,-0.45,41.7,6.8,2.5,1.5  10.8,9.17E+03,2.28E+04,1.4   1.0,1.52E+02,1.29E+03
214,39.83,-0.28,60.3,6.2,9.6,3.8  90.8,7.72E+05,1.19E+06,3.4  15.1,2.81E+04,1.08E+05
215,40.32,-0.42,73.5,5.7,5,0.9  12.5,8.05E+03,8.35E+03,1.0   1.2,5.75E+01,5.59E+02
216,41.05,-0.17,39.8,7,2.2,1.8  11.4,8.01E+03,1.29E+04,1.9   3.5,7.76E+02,3.28E+03
217,41.18,-0.22,61.1,6.2,9,1.8  42.6,1.99E+05,2.52E+05,1.5   1.5,1.98E+02,3.73E+03
218,41.89,-0.4,60.3,6.2,8.9,1.4  25.3,5.69E+04,6.72E+04,1.6   5.8,2.60E+03,9.71E+03
219,42.34,-0.08,57.5,6.3,8.9,3.0  20.6,5.06E+04,6.33E+04,2.7   3.5,1.11E+03,4.59E+03
220,42.15,-0.6,67.2,6,4.5,2.2  15.9,2.84E+04,5.52E+04,1.7   0.3,4.58E+00,3.59E+02
221,42.72,-0.35,62.6,6.3,3.8,3.8  16.9,1.97E+04,5.74E+04,3.5   1.5,1.46E+02,1.11E+03
223,43.17,-0.52,57.9,6.4,3.6,1.2   7.1,2.56E+03,6.79E+03,1.5   0.5,2.22E+01,1.34E+03
224,44.38,-0.22,61.2,6.2,7.7,4.0  46.1,1.91E+05,4.59E+05,2.3   0.8,4.67E+01,2.68E+03
225,45.44,0.07,59.9,6.4,8.1,4.4  47.0,1.66E+05,4.43E+05,3.0   3.6,2.03E+03,2.03E+04
226,46.32,-0.2,55,6.4,7.7,3.4  13.6,1.42E+04,5.82E+04,2.5   1.5,1.41E+02,3.43E+03
227,47.05,0.26,57.6,6.6,7.9,2.1  19.8,2.15E+04,6.81E+04,1.7   2.2,2.63E+02,1.29E+04
229,47.55,-0.54,59.1,6.4,7.2,1.7  17.7,1.97E+04,1.95E+04,1.6   3.7,5.69E+02,3.32E+03
232,48.83,0.14,52.6,6.7,7.7,1.9  32.0,3.42E+04,1.28E+05,1.5   2.0,2.25E+02,2.98E+03
234,49.74,-0.52,68.1,6.5,5.5,1.1  11.9,9.88E+03,1.89E+04,0.9   2.7,4.92E+02,2.61E+03
236,50.83,0.25,42.3,7,2.9,2.0   7.3,2.62E+03,7.69E+03,1.6   0.7,1.79E+01,7.96E+02
237,51.33,-0.04,54.7,6.7,6.2,2.5  31.3,6.05E+04,9.99E+04,1.9   0.8,4.53E+01,4.28E+03
238,52.3,-0.06,51.1,6.8,6.1,1.6  12.3,1.38E+04,1.90E+04,1.6   5.2,1.63E+03,6.23E+03
240,53.17,-0.25,62.7,6.8,5.1,2.3   9.0,8.71E+03,1.28E+04,1.9   1.3,1.32E+02,1.37E+03
241,53.43,0.07,23.3,7.7,1.5,1.1  15.9,5.19E+03,2.26E+04,0.9   0.2,6.26E+00,2.72E+02
242,54.12,-0.07,39.1,7.2,7,2.5  12.8,1.24E+04,5.03E+04,2.3   3.5,1.84E+03,1.95E+04
243,54.66,0.81,32.8,7.5,7.7,2.9  28.2,4.33E+04,1.12E+05,2.8   7.3,5.11E+03,2.17E+04