ncl,vel disp dc,rdc,pa,maj,min,lco,mvir,mco,mvir,mlum,area,density
2,4.747788535,102.8211739,54,69,42,7,20,10,2000000,1000000,33213.52637,60.21643042
4,2.233468963,69.55128036,23,51,26,3,3,4,300000,400000,15197.07936,19.74063522
5,2.404525862,94.52088076,87,79,31,8,5,10,500000,1000000,28067.60735,17.81412978
7,1.933608031,40.96493623,59,23,20,0.5,1,0.9,100000,90000,5271.988313,18.96817558
10,1.933608031,44.05438911,175,28,19,1,1,2,100000,200000,6097.169093,16.40105408
11,1.416993486,54.69407646,143,41,20,0.5,0.9,0.8,90000,80000,9397.892211,9.576615477
12,2.361777951,125.0138408,85,126,34,6,7,10,700000,1000000,49098.25638,14.25712544
14,2.746190742,41.62748491,88,25,19,2,2,3,200000,300000,5443.900976,36.73836113
15,1.199956741,42.70889837,138,25,20,0.2,0.4,0.3,40000,30000,5730.42208,6.980288615
16,2.575423191,41.31961762,66,26,18,2,2,3,200000,300000,5363.675067,37.28786653
17,3.428350817,81.57287785,177,48,38,6,9,9,900000,900000,20904.57975,43.05276695
18,2.489992419,50.28054594,128,33,21,0.4,2,0.6,200000,60000,7942.365003,25.18141636
19,1.890703186,54.69407646,86,41,20,0.6,2,1,200000,100000,9397.892211,21.28136773
21,3.215301099,35.21865983,143,20,17,0.4,2,0.7,200000,70000,3896.687014,51.32565158
23,4.152156301,68.20064149,48,51,25,4,10,6,1000000,600000,14612.5763,68.4342021
24,1.84777792,43.93,37,23,23,0.3,1,0.5,100000,50000,6062.78656,16.49406572
25,1.718864298,41.31961762,43,26,18,0.7,0.8,1,80000,100000,5363.675067,14.91514661
26,1.718864298,39.92768087,125,19,23,0.3,0.8,0.5,80000,50000,5008.388898,15.97320049
27,1.58970481,44.38438915,111,20,27,0.8,0.8,1,80000,100000,6188.855846,12.9264604
29,1.199956741,59.36383242,107,46,21,0.3,0.8,0.5,80000,50000,11071.17546,7.225971651
30,1.546586368,91.36111208,92,44,52,1,2,2,200000,200000,26222.41144,7.627063609
31,2.361777951,39.05004225,45,22,19,1,1,2,100000,200000,4790.632859,20.87406882
33,2.233468963,40.96493623,87,23,20,1,1,2,100000,200000,5271.988313,18.96817558
35,2.489992419,87.0884602,71,77,27,4,5,6,500000,600000,23827.09501,20.98451363
36,1.112631898,57.3,74,36,25,1,0.7,2,70000,200000,10314.75974,6.786391709
39,3.343142159,46.70721358,86,26,23,1,4,2,400000,200000,6853.584807,58.36361718
40,0.7125285909,43.6383799,137,29,18,0.3,0.2,0.5,20000,50000,5982.560651,3.343050103
41,1.068824495,41.97656846,162,23,21,0.5,0.4,0.8,40000,80000,5535.587729,7.225971651
43,1.933608031,36.23970199,106,20,18,0.6,0.7,1,70000,100000,4125.903897,16.96597927
44,2.105048173,45.68055604,168,22,26,0.8,2,1,200000,100000,6555.602859,30.50825443
45,3.428350817,38.95650908,85,26,16,2,2,4,200000,400000,4767.71117,41.94884985
46,1.933608031,59.24079844,110,37,26,1,2,2,200000,200000,11025.33208,18.14004318
48,2.660821627,49.06878845,111,30,22,0.9,3,2,300000,200000,7564.157145,39.66073076
50,2.233468963,56.0121951,53,43,20,2,2,3,200000,300000,9856.325977,20.29153667
52,1.460234218,40.15545044,37,26,17,0.4,0.5,0.6,50000,60000,5065.693119,9.870317611
55,5.938360181,50.28054594,86,33,21,3,10,5,1000000,500000,7942.365003,125.9070818
58,3.641314618,71.8728711,18,59,24,4,8,7,800000,700000,16228.55533,49.29582355
59,3.257918724,40.15545044,72,26,17,0.9,2,1,200000,100000,5065.693119,39.48127044
60,1.156338993,42.40888232,58,29,17,0.3,0.3,0.5,30000,50000,5650.196171,5.309550163
61,0.6667748726,47.40495333,47,28,22,0.3,0.2,0.4,20000,40000,7059.880002,2.83290934
62,2.489992419,55.35705917,66,30,28,2,3,3,300000,300000,9627.109094,31.16200274
63,4.450010943,79.58078663,2,56,31,6,10,10,1000000,1000000,19896.02546,50.26129475
64,2.746190742,60.096747,131,45,22,0.6,4,1,400000,100000,11346.23572,35.2539829
65,1.068824495,40.9203849,53,27,17,0.3,0.3,0.5,30000,50000,5260.527469,5.702850175
66,2.618126254,72.73063316,138,58,25,2,5,3,500000,300000,16618.22403,30.08745092
67,3.130053225,43.133873,137,30,17,2,2,3,200000,300000,5845.030521,34.21710105
68,3.257918724,79.7181924,37,67,26,4,8,6,800000,600000,19964.79053,40.07054314
69,1.976493786,64.77125134,83,46,25,3,2,5,200000,500000,13179.97078,15.17454047
70,2.916851307,49.3283154,110,29,23,1,3,2,300000,200000,7644.383054,39.24450121
71,3.598727999,68.86602936,168,50,26,6,8,10,800000,1000000,14899.09741,53.6945278
72,2.703509676,36.08838733,54,21,17,3,1,4,100000,400000,4091.521365,24.44078647
74,2.062212788,62.76900509,76,36,30,2,3,4,300000,400000,12377.71169,24.23711324
75,2.489992419,49.3283154,100,29,23,1,2,2,200000,200000,7644.383054,26.1630008
76,1.804830777,55.35705917,145,35,24,0.7,2,1,200000,100000,9627.109094,20.7746685
77,1.373704224,47.13483743,152,29,21,0.9,0.7,1,70000,100000,6979.654093,10.02915031
79,1.243494544,38.58010886,52,24,17,0.5,0.3,0.8,30000,80000,4676.024417,6.415706447
80,3.257918724,114.0735408,76,123,29,10,10,20,1000000,2000000,40880.83112,24.46134222
81,1.503430607,44.79347051,160,25,22,0.4,0.8,0.7,80000,70000,6303.464288,12.69143384
85,0.8029521011,51.00093431,133,31,23,0.2,0.3,0.3,30000,30000,8171.581886,3.67125979
86,3.641314618,43.6383799,26,29,18,1,4,2,400000,200000,5982.560651,66.86100205
87,3.68389838,38.2,103,25,16,0.5,2,0.9,200000,90000,4584.337664,43.62680384
89,1.112631898,39.37565872,116,25,17,0.7,0.3,1,30000,100000,4870.858768,6.159078189
91,0.8922958623,53.30919152,146,41,19,0.2,0.3,0.4,30000,40000,8927.9976,3.360215957
92,2.019361667,38.15222012,114,21,19,0.7,0.9,1,90000,100000,4572.87682,19.68126489
96,3.68389838,63.11675847,31,39,28,3,8,5,800000,500000,12515.24182,63.92205691
97,1.933608031,45.19884954,145,28,20,0.9,1,1,100000,100000,6418.072729,15.58100137
98,2.874195153,42.10672868,107,27,18,2,2,3,200000,300000,5569.970262,35.90683444
99,2.147868763,60.85081347,85,35,29,2,3,3,300000,300000,11632.75682,25.78924365
100,1.761860156,46.3544054,178,31,19,0.7,1,1,100000,100000,6750.43721,14.81385529
101,1.58970481,49.95298189,162,36,19,0.8,1,1,100000,100000,7839.217405,12.75637539
104,1.632788891,47.40495333,91,28,22,2,1,3,100000,300000,7059.880002,14.1645467
105,3.257918724,60.76081961,133,46,22,6,6,10,600000,1000000,11598.37429,51.73138795
107,1.675841259,46.31503859,13,28,21,0.6,1,0.9,100000,90000,6738.976366,14.83904893
108,2.618126254,60.06638744,11,43,23,2,4,3,400000,300000,11334.77487,35.28962899
110,4.237266437,46.3544054,25,31,19,4,6,6,600000,600000,6750.43721,88.88313176
112,2.062212788,41.62748491,79,25,19,1,1,2,100000,200000,5443.900976,18.36918056
114,3.939346131,153.8706242,59,118,55,20,20,30,2000000,3000000,74380.8786,26.88863103
115,2.361777951,57.3,153,36,25,2,3,3,300000,300000,10314.75974,29.08453589
118,3.896777604,64.8275497,145,64,18,1,7,2,700000,200000,13202.89247,53.01868522
119,2.532712052,44.05438911,20,28,19,2,2,3,200000,300000,6097.169093,32.80210815
121,1.718864298,48.73308014,90,31,21,0.6,1,1,100000,100000,7461.009548,13.40301193
123,2.105048173,47.25079047,160,34,18,1,1,2,100000,200000,7014.036626,14.25712544
124,0.6205535068,44.54847248,55,32,17,0.2,0.1,0.4,10000,40000,6234.699223,1.603926612
125,1.632788891,47.71178471,78,26,24,1,1,2,100000,200000,7151.566756,13.98294995
127,1.243494544,48.24404419,21,29,22,0.5,0.6,0.8,60000,80000,7312.018574,8.205668434
128,3.130053225,60.76081961,40,44,23,5,5,8,500000,800000,11598.37429,43.10948996
129,6.830920421,49.29132378,17,37,18,5,20,9,2000000,900000,7632.92221,262.0228459
132,2.489992419,43.84687788,67,31,17,1,1,2,100000,200000,6039.864872,16.5566618
133,1.976493786,48.5455724,144,34,19,0.5,1,0.8,100000,80000,7403.705327,13.50675042
134,0.6205535068,40.9203849,121,27,17,0.2,0.1,0.4,10000,40000,5260.527469,1.900950058
135,4.875387415,96.41244111,113,91,28,10,20,20,2000000,2000000,29202.23092,68.48791812
136,1.804830777,45.19884954,100,28,20,1,1,2,100000,200000,6418.072729,15.58100137
138,0.8029521011,72.17677466,118,51,28,0.7,0.5,1,50000,100000,16366.08546,3.055098308
139,1.330361694,42.87939365,83,24,21,0.3,0.6,0.6,60000,60000,5776.265456,10.38733425
143,2.233468963,90.39769909,92,70,32,9,4,10,400000,1000000,25672.29092,15.58100137
145,2.404525862,45.600625,79,30,19,1,2,2,200000,200000,6532.681171,30.61530094
146,1.84777792,59.63973088,77,39,25,0.6,2,1,200000,100000,11174.32306,17.89817593
147,2.959501902,55.35705917,150,30,28,3,4,4,400000,400000,9627.109094,41.54933699
149,1.546586368,33.41135436,61,17,18,0.6,0.3,1,30000,100000,3507.018313,8.554275263
150,2.319019565,49.80670638,107,34,20,0.6,2,0.9,200000,90000,7793.374029,25.66282579
151,1.546586368,38.8627508,105,23,18,0.6,0.6,1,60000,100000,4744.789482,12.64545039
152,2.147868763,35.01087831,116,21,16,0.4,0.6,0.7,60000,70000,3850.843638,15.58100137
153,2.916851307,81.3713801,7,55,33,5,7,9,700000,900000,20801.43215,33.65152913
154,3.30053236,97.46616028,129,84,31,8,10,10,1000000,1000000,29844.03819,33.50752983
155,2.788865146,64.60206189,154,52,22,3,4,5,400000,500000,13111.20572,30.50825443
156,2.062212788,40.51721856,151,25,18,2,1,4,100000,400000,5157.379872,19.3896906
157,2.489992419,40.78643892,71,24,19,1,2,2,200000,200000,5226.144937,38.26912618
160,0.9808549745,38.2,140,25,16,0.2,0.1,0.3,10000,30000,4584.337664,2.181340192
162,3.470949944,37.1346442,20,21,18,0.9,2,2,200000,200000,4332.199092,46.16592999
163,2.489992419,60.03601253,124,38,26,0.5,3,0.9,300000,90000,11323.31403,26.49401043
164,2.618126254,46.3544054,7,31,19,1,2,2,200000,200000,6750.43721,29.62771059
167,2.233468963,47.09612298,103,32,19,0.7,2,1,200000,100000,6968.193249,28.70184463
168,2.916851307,74.4165022,158,46,33,2,6,3,600000,300000,17397.56143,34.48759197
169,2.874195153,44.79347051,45,25,22,0.7,3,1,300000,100000,6303.464288,47.59287692
170,2.788865146,41.31961762,73,26,18,0.7,2,1,200000,100000,5363.675067,37.28786653
171,8.573033885,58.71502789,148,45,21,4,40,6,4000000,600000,10830.49773,369.3274399
172,2.276250115,38.15222012,9,21,19,0.9,1,1,100000,100000,4572.87682,21.8680721
173,2.105048173,40.78643892,29,24,19,1,1,2,100000,200000,5226.144937,19.13456309
176,1.84777792,56.65975644,171,40,22,0.3,2,0.5,200000,50000,10085.54286,19.83036538
177,1.460234218,40.15545044,57,26,17,0.2,0.4,0.3,40000,30000,5065.693119,7.896254089
179,3.044787345,45.48046504,76,27,21,1,3,2,300000,200000,6498.298638,46.16592999
181,2.831533188,53.17214967,153,31,25,2,4,3,400000,300000,8882.154224,45.03412009
183,1.068824495,54.66071624,36,39,21,0.3,0.5,0.5,50000,50000,9386.431367,5.326838076
184,2.361777951,40.51721856,166,25,18,0.7,1,1,100000,100000,5157.379872,19.3896906
185,2.874195153,58.87015373,20,38,25,1,4,2,400000,200000,10887.80195,36.73836113
186,3.769057718,79.0056903,132,59,29,4,10,7,1000000,700000,19609.50436,50.99567953
187,2.233468963,40.51721856,0,25,18,0.6,1,1,100000,100000,5157.379872,19.3896906
188,2.062212788,38.58010886,11,24,17,1,0.8,2,80000,200000,4676.024417,17.10855053
189,1.804830777,66.41199365,167,39,31,0.6,2,1,200000,100000,13856.16059,14.43401285
191,4.109598371,59.24079844,109,37,26,4,9,6,900000,600000,11025.33208,81.6301943
195,3.769057718,38.58010886,89,24,17,3,3,5,300000,500000,4676.024417,64.15706447
196,3.896777604,68.03998016,120,47,27,2,10,4,1000000,400000,14543.81124,68.75776807
197,6.065883923,230.5885025,87,275,53,70,90,100,9000000,10000000,167041.8036,53.87872859
201,1.890703186,51.99271199,9,39,19,0.5,1,0.8,100000,80000,8492.485522,11.77511575
203,2.532712052,48.24404419,76,29,22,1,2,2,200000,200000,7312.018574,27.35222811
204,1.761860156,39.69860451,116,24,18,0.3,0.8,0.5,80000,50000,4951.084677,16.1580755
205,3.385748265,61.17965838,31,38,27,3,6,4,600000,400000,11758.82611,51.02550157
206,1.804830777,34.38,41,18,18,0.4,0.5,0.7,50000,70000,3713.313508,13.46506291
208,2.874195153,69.55128036,109,51,26,0.5,5,0.9,500000,90000,15197.07936,32.9010587
211,2.190675426,47.59695473,48,27,23,0.4,2,0.6,200000,60000,7117.184223,28.10100086
212,3.981912401,60.00562224,112,47,21,4,8,6,800000,600000,11311.85319,70.72227573
213,2.276250115,65.08028964,28,43,27,0.4,3,0.6,300000,60000,13306.04007,22.54615186
215,3.087422629,55.6855906,34,34,25,2,5,3,500000,300000,9741.717536,51.32565158
216,5.08802879,86.79473774,56,59,35,10,20,20,2000000,2000000,23666.64319,84.50712608
217,2.959501902,39.14335193,94,21,20,0.8,2,1,200000,100000,4813.554547,41.54933699
220,3.257918724,43.88845862,95,24,22,3,3,5,300000,500000,6051.325716,49.57591346
221,2.233468963,45.11806512,73,31,18,0.7,1,1,100000,100000,6395.151041,15.63684725
223,3.257918724,51.0366868,123,34,21,2,4,4,400000,400000,8183.04273,48.88157293
224,1.632788891,46.55074006,154,33,18,0.5,0.8,0.9,80000,90000,6807.741431,11.75132763
225,4.024476485,80.28818531,125,57,31,8,10,10,1000000,1000000,20251.31163,49.37951765
226,2.831533188,63.86372836,5,43,26,4,5,6,500000,600000,12813.22377,39.0221859
227,3.044787345,58.71502789,133,45,21,2,5,4,500000,400000,10830.49773,46.16592999
230,2.660821627,90.8405317,79,78,29,3,6,4,600000,400000,25924.42949,23.14419302