ncl,mass,mass error,R,velocity disp
1,310000,90000,124.7013494,3.456006247
2,210000,50000,115.1343563,4.465868244
3,250000,210000,133.8118081,2.540468299
4,100000,50000,108.9149209,2.232482738
5,170000,110000,118.4418001,2.642721926
6,160000,150000,133.2711522,2.335375596
7,350000,100000,161.7233749,2.948555439
8,140000,100000,119.3224204,3.050242478
9,250000,130000,133,3.557243199
10,170000,70000,115.7285617,2.642721926
11,140000,120000,121.3622676,2.232482738
12,480000,110000,177.9723012,6.476417156
13,110000,140000,101.9646998,4.868673246
14,90000,50000,112.950166,1.501325806
15,260000,160000,130.7001148,3.658412111
16,40000,30000,103.021357,1.712886212
17,220000,40000,113.8574108,2.948555439
18,770000,90000,151.0948047,4.465868244
19,470000,140000,201.2565527,4.062508976
20,190000,170000,118.5636538,2.335375596
21,450000,110000,137.6418541,4.868673246
22,600000,70000,133.6768492,3.961562719
23,170000,100000,131.3475923,3.151821565
24,220000,100000,117.0622057,3.860567209
25,170000,140000,124.8807431,4.062508976
26,630000,160000,188.7035771,3.25330281
27,130000,120000,114.7889367,2.948555439
28,360000,120000,132.0465827,3.961562719
29,420000,130000,144.2248938,4.062508976
30,110000,80000,119.6396673,1.607476027
31,590000,200000,196.7761673,6.576775743
32,60000,50000,101.538958,2.335375596
33,250000,90000,130.81055,3.050242478
34,640000,150000,177.1590811,3.658412111
35,200000,250000,113.7463846,5.874008782
36,300000,80000,126.2606827,2.846748878
37,500000,110000,185.9283733,2.642721926
38,150000,60000,121.2283383,2.232482738
39,200000,120000,120.9152596,2.642721926
40,130000,60000,109.9376187,4.062508976
41,280000,60000,144.1623044,3.759518477
42,310000,110000,138.2307129,2.540468299
43,30000,30000,92.14510296,1.501325806
44,140000,90000,120.9152596,3.25330281
45,210000,130000,137.6418541,3.25330281
46,340000,70000,128.513618,2.948555439
47,410000,90000,153.7591948,3.557243199
48,290000,70000,136.2976889,3.456006247
49,250000,70000,129.8966512,2.540468299
50,270000,160000,141.8779757,2.744809497
51,230000,80000,131.2788635,2.744809497
52,90000,60000,106.2472117,2.232482738
53,70000,50000,115.7597512,1.501325806
54,150000,120000,122.8405471,3.759518477
55,70000,100000,110.6576703,2.232482738
56,240000,110000,131.8961334,3.456006247
57,180000,100000,127.0587266,2.642721926
58,120000,90000,109.1466903,2.232482738
59,270000,150000,132.7826796,3.151821565
60,190000,140000,124.6927023,3.151821565
61,340000,120000,134.0409266,4.062508976
62,190000,60000,122.3104247,3.151821565
63,140000,130000,113.8098414,2.948555439
64,300000,200000,127.9646826,2.438027723
65,130000,90000,117.0467855,4.163409561
66,110000,90000,114,2.846748878
67,90000,140000,109.1466903,2.744809497
68,50000,70000,108.9149209,1.607476027
69,410000,140000,131.0586891,4.365086388
70,370000,180000,129.7158818,5.27105105
71,90000,60000,116.6606189,1.712886212
72,40000,30000,97.47574057,1.92197273
73,100000,80000,115.4474772,2.335375596
74,180000,130000,117.5545831,4.062508976
75,80000,40000,112.950166,1.394266537
76,350000,50000,144.1998613,1.607476027
77,370000,90000,143.3839252,2.540468299
78,170000,270000,163.8192296,2.335375596
79,130000,100000,108.3166654,3.961562719
80,820000,130000,192.7821309,5.27105105
81,620000,70000,149.4612993,3.456006247
82,380000,140000,157.6771068,4.667331055
83,60000,50000,104.4308862,1.607476027
84,100000,130000,116.8152387,2.438027723
85,90000,70000,110.788086,3.050242478
86,1280000,80000,229.5464223,4.969303691
87,280000,160000,152.7226571,3.151821565
88,160000,90000,120.5864006,2.540468299
89,330000,120000,170.9366549,4.365086388
90,400000,130000,148.2730589,3.658412111
91,1110000,80000,145.8551679,4.969303691
92,110000,80000,109.7897536,2.438027723
93,60000,60000,108.3,1.817685115
94,70000,60000,122.8699312,4.264267719
95,500000,120000,197.0694801,3.354695094
96,190000,110000,125.0396337,2.438027723
97,60000,70000,103.3886357,2.642721926
98,80000,100000,111.1134555,2.948555439
99,440000,140000,152.0949703,4.465868244
100,230000,150000,153.0650189,2.540468299
101,120000,100000,111.0647109,2.12931425
102,120000,80000,106.4,3.456006247
103,180000,60000,137.5106541,3.456006247
104,110000,90000,123.4415246,2.232482738
105,500000,70000,127.172324,3.961562719
106,70000,70000,102.3181313,3.050242478
107,150000,80000,119.1559063,2.948555439
108,80000,100000,118.2129858,1.92197273
109,550000,140000,184.0549918,3.050242478
110,60000,80000,110.5271007,2.232482738
111,130000,70000,112.1,2.744809497
112,140000,180000,108.0330042,2.846748878
113,90000,60000,97.84538824,3.456006247
114,130000,50000,120.1064528,3.050242478
115,50000,70000,117.2470895,1.817685115
116,220000,240000,160.119393,3.557243199
117,130000,90000,120.6462598,3.759518477
118,60000,110000,109.0474209,2.232482738
119,70000,70000,122.1923075,3.557243199
120,400000,110000,156.343564,3.658412111
121,190000,110000,131.6358614,3.050242478
122,170000,120000,148.9289764,2.438027723
123,230000,120000,125.4,3.050242478
124,1000000,110000,191.6929576,4.062508976
125,230000,140000,131.4300194,3.25330281
126,350000,70000,129.9799985,3.860567209
127,90000,60000,116.8461381,1.92197273
128,190000,180000,109.0474209,4.566615725
129,60000,50000,99.38289591,2.642721926
130,60000,50000,129.8966512,2.232482738
131,240000,100000,143.8614959,2.642721926
132,440000,70000,142.9173887,3.050242478
133,50000,40000,109.0474209,1.176426443
134,270000,170000,158.5105675,2.948555439
135,220000,80000,126.4321162,2.744809497
136,1070000,110000,302.4165009,8.381764682
137,80000,80000,100.6282763,3.151821565
138,140000,90000,121.2134481,2.744809497
139,190000,100000,119.790442,4.163409561
140,160000,90000,153.8296135,2.025828022
141,90000,110000,118.9891592,5.27105105
142,160000,40000,115.8844252,3.759518477
143,130000,110000,139.3103011,2.232482738
144,120000,60000,112.7102036,3.961562719
145,90000,40000,102.8108944,3.557243199
146,90000,50000,104.3444297,2.025828022
147,110000,60000,110.95089,2.438027723
148,100000,90000,102.1592384,6.877788829
149,90000,90000,103.3362473,3.25330281