Identifier,,Lat,Lon,MajAxis,MinAxis,PosAng,VLSR,vel disp,d,Reff,N0H2,mass,density,n,alphavir,xrad,vel disp not fwhm
G116.430-04.489-001.53,,116.43,-4.489,301,132,155,-1.53,1,0.24,0.28,6.40E+20,10.6,43.7,1720,30.2,0.5348,0.4246609001
G116.431+03.408-064.26,,116.431,3.408,130,103,109,-64.26,0.77,5.16,3.36,6.00E+20,1007.8,28.5,92,2.3,6.4176,0.3269888931
G116.451+00.489-004.56,,116.451,0.489,669,358,-165,-4.56,1.54,0.27,0.74,6.80E+20,61.1,35.2,517,33.6,1.4134,0.6539777862
G116.498-00.473-043.98,,116.498,-0.473,178,130,133,-43.98,0.66,3.34,2.88,7.30E+20,1349.6,51.9,196,1.1,5.5008,0.2802761941
G116.506+04.005-079.95,,116.506,4.005,163,55,167,-79.95,0.6,6.79,3.6,3.50E+20,752,18.5,56,2,6.876,0.2547965401
G116.594+02.428-005.98,,116.594,2.428,389,247,-162,-5.98,0.67,0.33,0.58,4.20E+20,16.7,16.1,305,18.1,1.1078,0.2845228031
G116.610-01.665-045.41,,116.61,-1.665,157,63,-160,-45.41,0.87,3.46,1.93,5.70E+20,428.3,36.6,207,3.9,3.6863,0.3694549831
G116.632+03.481-018.88,,116.632,3.481,147,53,-168,-18.88,0.64,0.97,0.48,4.70E+20,19.3,27.1,620,11.6,0.9168,0.2717829761
G116.666-04.810-049.17,,116.666,-4.81,166,54,-165,-49.17,1.23,3.78,2.01,6.30E+20,463.3,36.5,198,7.6,3.8391,0.5223329072
G116.703+04.328-038.01,,116.703,4.328,351,198,46,-38.01,1.11,2.82,4.24,8.40E+20,3169.7,56.1,144,1.9,8.0984,0.4713735992
G116.727-00.864-000.38,,116.727,-0.864,146,87,169,-0.38,0.44,0.26,0.16,3.00E+20,1.2,14.2,942,30.1,0.3056,0.1868507961
G116.736-00.287-043.34,,116.736,-0.287,342,130,137,-43.34,1.01,3.28,3.94,1.10E+21,3478.4,71.2,197,1.3,7.5254,0.4289075091
G116.737+02.821-006.98,,116.737,2.821,181,146,-157,-6.98,0.76,0.31,0.28,4.90E+20,8.1,31.9,1226,23.8,0.5348,0.3227422841
G116.760-03.503-038.59,,116.76,-3.503,351,240,-145,-38.59,0.91,2.89,4.78,7.80E+20,3246.1,45.2,103,1.4,9.1298,0.3864414191
G116.764+00.838-054.73,,116.764,0.838,92,63,-152,-54.73,0.92,4.27,1.79,3.60E+20,226.6,22.5,137,7.8,3.4189,0.3906880281
G116.801-03.125-036.62,,116.801,-3.125,1758,538,-165,-36.62,1.33,2.72,15.1,1.10E+21,27638.8,38.6,27,1.1,28.841,0.5647989972
G116.906+02.134-070.07,,116.906,2.134,157,47,67,-70.07,0.83,5.74,2.74,3.60E+20,444.8,18.8,75,4.9,5.2334,0.3524685471
G116.925-00.814+000.68,,116.925,-0.814,254,52,149,0.68,0.91,0.21,0.13,3.20E+20,0.9,16.9,1393,136.9,0.2483,0.3864414191
G116.956+01.356-013.34,,116.956,1.356,195,48,156,-13.34,0.72,0.33,0.18,3.20E+20,1.4,14.4,893,75.3,0.3438,0.3057558481
G116.961+01.718-013.59,,116.961,1.718,151,61,-148,-13.59,2.09,0.58,0.31,6.00E+20,12.4,40.8,1435,127.4,0.5921,0.8875412813
G116.999+03.702-005.65,,116.999,3.702,589,341,-152,-5.65,3.34,0.73,1.86,1.00E+21,753.4,69.1,404,31.9,3.5526,1.418367406
G117.005-02.268-043.13,,117.005,-2.268,618,335,-166,-43.13,3.1,3.26,8.46,1.80E+21,26795.4,119.1,153,3.5,16.1586,1.31644879
G117.019+00.882-056.56,,117.019,0.882,205,104,107,-56.56,1.18,4.43,3.67,5.90E+20,1771.5,41.9,124,3.3,7.0097,0.5010998622
G117.102+00.024-042.31,,117.102,0.024,161,105,133,-42.31,1.19,3.18,2.34,6.10E+20,615.1,35.9,167,6.3,4.4694,0.5053464712
G117.141+04.004-008.83,,117.141,4.004,185,97,129,-8.83,0.71,0.29,0.22,3.70E+20,2.9,19.4,965,43.7,0.4202,0.3015092391
G117.160+05.060-072.64,,117.16,5.06,569,125,169,-72.64,1.04,5.97,9.07,6.60E+20,8939.1,34.6,41,1.3,17.3237,0.4416473361
G117.161+02.477-010.28,,117.161,2.477,136,49,49,-10.28,0.7,0.71,0.32,3.60E+20,6.7,20.6,700,27.1,0.6112,0.2972626301
G117.165+00.674-002.37,,117.165,0.674,224,91,159,-2.37,1.18,0.23,0.19,6.40E+20,4.9,44.4,2603,62.4,0.3629,0.5010998622
G117.269-00.106-001.98,,117.269,-0.106,234,118,-155,-1.98,0.61,0.26,0.24,4.60E+20,4,21.3,954,26.9,0.4584,0.2590431491
G117.277+04.904-015.35,,117.277,4.904,136,50,-143,-15.35,0.78,0.87,0.4,1.00E+21,44.1,88.2,2414,6.3,0.764,0.3312355021
G117.278+01.756+001.52,,117.278,1.756,274,92,-169,1.52,0.99,0.29,0.26,6.60E+20,9.9,46.5,1945,29.7,0.4966,0.4204142911
G117.303+00.529-002.57,,117.303,0.529,194,134,117,-2.57,2.43,0.22,0.2,5.40E+20,3.9,31.7,1739,345.2,0.382,1.031925987
G117.305+01.690-058.24,,117.305,1.69,155,95,86,-58.24,1.32,4.58,3.14,7.50E+20,1013.6,32.7,113,6.3,5.9974,0.5605523882
G117.317+03.169-002.81,,117.317,3.169,316,137,150,-2.81,1.3,0.32,0.37,5.20E+20,14.3,32.5,947,51.4,0.7067,0.5520591702
G117.371+02.145-006.77,,117.371,2.145,122,97,159,-6.77,1.17,0.52,0.32,3.00E+20,3.7,11.6,401,136.5,0.6112,0.4968532532
G117.411+02.497-005.20,,117.411,2.497,1285,607,-144,-5.2,1.6,0.32,1.6,9.70E+20,406.2,50.8,347,11.6,3.056,0.6794574402
G117.423+01.079-059.81,,117.423,1.079,348,170,113,-59.81,2.2,4.72,6.54,1.00E+21,9385.9,69.9,116,3.9,12.4914,0.9342539803
G117.451-00.107-046.63,,117.451,-0.107,1037,276,150,-46.63,1.42,3.54,10.81,9.70E+20,18488.2,50.4,50,1.4,20.6471,0.6030184782
G117.454+01.649+000.35,,117.454,1.649,198,69,154,0.35,1.13,0.29,0.19,4.80E+20,2.9,25.7,1474,95.5,0.3629,0.4798668172
G117.541-00.573+000.79,,117.541,-0.573,1038,487,166,0.79,1.12,0.26,1.05,7.50E+20,123.7,35.7,372,12.3,2.0055,0.4756202082
G117.558+00.389-052.00,,117.558,0.389,193,61,172,-52,0.66,4.01,2.44,6.40E+20,835.7,44.7,200,1.5,4.6604,0.2802761941
G117.597+02.308-044.88,,117.597,2.308,187,76,122,-44.88,1.52,3.38,2.27,2.70E+21,4704.4,290.1,1394,1.3,4.3357,0.6454845682
G117.684+04.450-001.00,,117.684,4.45,199,60,-166,-1,0.43,0.55,0.34,3.00E+20,6.6,18.5,603,11.1,0.6494,0.1826041871
G117.704+04.328-006.72,,117.704,4.328,4721,1919,-161,-6.72,1.68,0.67,11.48,1.60E+21,25039.5,60.4,57,1.5,21.9268,0.7134303122
G117.723+00.671-016.03,,117.723,0.671,233,125,158,-16.03,0.74,0.24,0.24,6.20E+20,4,23,1061,37.1,0.4584,0.3142490661
G117.768-01.254+000.29,,117.768,-1.254,284,141,123,0.29,0.5,0.22,0.25,4.80E+20,6.4,32.9,1449,11.5,0.4775,0.2123304501
G117.809-04.420+001.66,,117.809,-4.42,125,45,171,1.66,0.47,0.22,0.09,2.70E+20,0.4,13.7,1646,67.2,0.1719,0.1995906231
G117.827+03.976-064.90,,117.827,3.976,160,81,-173,-64.9,1.2,5.19,3.32,4.60E+20,980.8,28.3,92,5.7,6.3412,0.5095930802
G117.832+00.353-050.30,,117.832,0.353,221,55,-177,-50.3,0.61,3.85,2.39,3.40E+20,272.1,15.2,69,3.7,4.5649,0.2590431491
G117.853-03.627-000.38,,117.853,-3.627,439,340,-174,-0.38,0.86,0.26,0.57,1.60E+21,110.3,108,2069,4.4,1.0887,0.3652083741
G117.861+02.508-006.36,,117.861,2.508,164,49,172,-6.36,1.1,0.27,0.14,3.70E+20,1.4,24,1909,136.4,0.2674,0.4671269902
G117.879-03.006-037.25,,117.879,-3.006,302,59,-173,-37.25,0.77,2.74,2.07,6.60E+20,498.7,37.1,195,2.8,3.9537,0.3269888931
G117.882-04.082-038.73,,117.882,-4.082,253,84,-152,-38.73,0.98,2.86,2.37,6.70E+20,712.7,40.4,186,3.7,4.5267,0.4161676821
G117.912-03.255-038.52,,117.912,-3.255,918,481,136,-38.52,2.05,2.85,10.81,1.10E+21,16020.1,43.6,44,3.3,20.6471,0.8705548453
G117.929-02.911-007.76,,117.929,-2.911,176,69,49,-7.76,0.88,0.26,0.16,6.90E+20,3.8,46.9,3200,37.8,0.3056,0.3737015921
G118.000+01.896-060.90,,118,1.896,345,91,161,-60.9,1.08,4.81,4.85,7.20E+20,3478.7,47,105,1.9,9.2635,0.4586337722
G118.038-00.734+002.12,,118.038,-0.734,307,62,124,2.12,0.79,0.22,0.17,6.30E+20,3.6,39.6,2549,34.6,0.3247,0.3354821111
G118.041+03.952-064.92,,118.041,3.952,253,103,150,-64.92,0.9,5.19,4.75,8.20E+20,4588.3,64.6,148,1,9.0725,0.3821948101
G118.050+01.608-008.67,,118.05,1.608,687,265,80,-8.67,1.01,0.29,0.71,7.70E+20,73.5,46.9,724,11.4,1.3561,0.4289075091
G118.051+03.153-017.71,,118.051,3.153,2827,617,-176,-17.71,2.08,1.09,8.22,2.40E+21,37762.2,177.9,236,1.1,15.7002,0.8832946723
G118.104+03.734-038.38,,118.104,3.734,254,76,122,-38.38,0.62,2.82,2.22,1.10E+21,1395.1,90,442,0.7,4.2402,0.2632897581
G118.111+01.596-093.03,,118.111,1.596,333,121,130,-93.03,1.86,8.44,9.65,6.70E+20,10260.4,35.1,39,3.8,18.4315,0.7898692743
G118.163-00.778-035.78,,118.163,-0.778,221,104,163,-35.78,0.73,2.62,2.25,9.20E+20,1156.4,72.6,351,1.2,4.2975,0.3100024571
G118.178+02.054-072.69,,118.178,2.054,159,86,134,-72.69,0.55,6,3.97,3.10E+20,512.5,10.4,28,2.7,7.5827,0.2335634951
G118.205+04.190-032.61,,118.205,4.19,332,216,150,-32.61,2.06,2.34,3.57,5.60E+20,802.1,20,61,22,6.8187,0.8748014543
G118.228+02.777-062.17,,118.228,2.777,170,75,127,-62.17,0.69,4.92,3.13,3.80E+20,521.1,16.9,58,3.3,5.9783,0.2930160211
G118.235-01.601-034.73,,118.235,-1.601,252,91,-162,-34.73,0.9,2.53,2.17,1.50E+21,2048.2,138.6,698,1,4.1447,0.3821948101
G118.305-03.934-039.58,,118.305,-3.934,260,162,179,-39.58,0.83,2.92,3.4,7.60E+20,1814.5,49.8,159,1.5,6.494,0.3524685471
G118.332+02.017-072.04,,118.332,2.017,212,56,117,-72.04,0.82,5.93,3.64,4.30E+20,1113.2,26.8,80,2.5,6.9524,0.3482219381
G118.338-00.461-001.65,,118.338,-0.461,521,240,134,-1.65,0.89,0.29,0.59,4.70E+20,16.7,15.6,290,31.8,1.1269,0.3779482011
G118.386+03.725-047.42,,118.386,3.725,380,163,104,-47.42,0.88,3.57,5.07,4.90E+20,2005.1,24.9,53,2.3,9.6837,0.3737015921
G118.389-01.730-001.98,,118.389,-1.73,171,57,49,-1.98,0.64,0.21,0.11,3.10E+20,0.7,18.4,1770,72.2,0.2101,0.2717829761
G118.392+01.988-061.13,,118.392,1.988,174,91,161,-61.13,1.43,4.83,3.44,6.10E+20,1416.5,38.1,121,5.7,6.5704,0.6072650872
G118.400+02.487-070.63,,118.4,2.487,288,86,-179,-70.63,1.15,5.78,5.18,9.30E+20,3963.5,47.1,99,2,9.8938,0.4883600352
G118.447+03.018-010.33,,118.447,3.018,187,110,120,-10.33,0.51,0.33,0.26,3.40E+20,5.2,23.6,972,15.2,0.4966,0.2165770591
G118.449+01.199-060.65,,118.449,1.199,212,162,-145,-60.65,1.4,4.78,5.04,1.00E+21,6958.9,87.1,188,1.7,9.6264,0.5945252602
G118.503-04.198-006.39,,118.503,-4.198,215,131,-144,-6.39,0.58,0.26,0.25,3.90E+20,3.1,16.1,712,31.3,0.4775,0.2463033221
G118.516+02.219-071.21,,118.516,2.219,247,152,122,-71.21,1,5.84,6.44,6.40E+20,3922,30.1,51,1.9,12.3004,0.4246609001
G118.526-02.322-042.03,,118.526,-2.322,187,120,143,-42.03,1.06,3.12,2.64,9.70E+20,1132.7,51.5,212,3,5.0424,0.4501405542
G118.544+00.637-042.72,,118.544,0.637,144,26,120,-42.72,0.47,3.18,1.06,4.00E+20,115.2,32.4,332,2.3,2.0246,0.1995906231
G118.623-00.764-038.62,,118.623,-0.764,196,58,-164,-38.62,0.81,2.84,1.71,7.80E+20,416.5,45.6,291,3.1,3.2661,0.3439753291
G118.653-04.436-036.79,,118.653,-4.436,274,116,123,-36.79,0.77,2.68,2.71,1.40E+21,2658.3,115.1,463,0.7,5.1761,0.3269888931
G118.658-00.389-049.94,,118.658,-0.389,258,88,134,-49.94,1.06,3.8,3.24,1.50E+21,4125,124.7,419,1,6.1884,0.4501405542
G118.661-01.944-033.09,,118.661,-1.944,324,69,59,-33.09,0.99,2.39,2.02,6.20E+20,459.1,35.7,192,5,3.8582,0.4204142911
G118.691+01.839-063.94,,118.691,1.839,333,81,-157,-63.94,1.52,5.1,4.77,9.70E+20,3706.6,51.8,118,3.5,9.1107,0.6454845682
G118.708+02.879-067.07,,118.708,2.879,813,424,88,-67.07,3.11,5.4,18.1,9.10E+20,41878.6,40.7,24,4.8,34.571,1.320695399
G118.715-01.322-038.54,,118.715,-1.322,384,208,157,-38.54,1.04,2.83,4.57,1.80E+21,7443.2,113.7,271,0.8,8.7287,0.4416473361
G118.762-03.788-008.71,,118.762,-3.788,75,30,99,-8.71,1.29,0.24,0.06,6.80E+20,0.6,55.9,10166,182.7,0.1146,0.5478125612
G118.765-03.345-038.82,,118.765,-3.345,124,117,141,-38.82,0.88,2.85,1.94,7.10E+20,518.7,44.1,248,3.4,3.7054,0.3737015921
G118.788+00.204-001.09,,118.788,0.204,102,96,-153,-1.09,0.8,0.26,0.14,3.40E+20,1.3,20.7,1581,79.3,0.2674,0.3397287201
G118.793-03.993-006.43,,118.793,-3.993,203,40,140,-6.43,0.75,0.24,0.12,5.50E+20,1.5,32.2,2843,51.9,0.2292,0.3184956751
G118.858+03.319-047.44,,118.858,3.319,277,136,122,-47.44,0.6,3.56,3.92,8.60E+20,3144.2,65.1,181,0.5,7.4872,0.2547965401
G118.866+00.075-047.81,,118.866,0.075,296,177,118,-47.81,1.59,3.61,4.7,9.60E+20,4273.4,61.6,143,3.2,8.977,0.6752108312
G118.900+02.518-057.33,,118.9,2.518,169,104,122,-57.33,1.12,4.46,3.34,7.80E+20,2285.4,65.3,213,2.1,6.3794,0.4756202082
G118.949+01.896-035.85,,118.949,1.896,67,54,-153,-35.85,1.86,2.6,0.84,2.50E+21,958.4,431.8,5613,3.5,1.6044,0.7898692743
G119.002-01.842-048.82,,119.002,-1.842,163,55,-159,-48.82,0.67,3.69,1.95,1.10E+21,1060.7,88.5,494,1,3.7245,0.2845228031
G119.015-00.935-037.94,,119.015,-0.935,135,43,91,-37.94,2.09,2.77,1.17,6.40E+20,199.7,46.2,430,29.6,2.2347,0.8875412813
G119.019-02.757-029.52,,119.019,-2.757,148,59,-140,-29.52,0.76,2.09,1.09,5.40E+20,101.5,27.1,270,7.3,2.0819,0.3227422841
G119.049-01.592-049.64,,119.049,-1.592,242,213,82,-49.64,0.8,3.77,4.87,9.60E+20,3942.4,52.9,118,0.9,9.3017,0.3397287201
G119.133+02.445-058.53,,119.133,2.445,117,38,171,-58.53,0.77,4.56,1.66,3.00E+20,138.3,16,105,8.3,3.1706,0.3269888931
G119.154-00.949-049.05,,119.154,-0.949,132,63,139,-49.05,0.59,3.71,1.89,5.40E+20,397.1,35.3,204,1.9,3.6099,0.2505499311
G119.163-01.749-033.17,,119.163,-1.749,642,515,-170,-33.17,1.7,2.38,7.81,1.00E+21,5930.3,30.9,43,4.4,14.9171,0.7219235302
G119.168+04.264-033.71,,119.168,4.264,231,112,49,-33.71,0.78,2.41,2.2,9.60E+20,903.6,59.5,295,1.7,4.202,0.3312355021
G119.175+01.553-003.46,,119.175,1.553,1353,851,-148,-3.46,1.59,0.65,3.98,1.20E+21,3699.3,74.4,204,3.1,7.6018,0.6752108312
G119.176+03.265-064.82,,119.176,3.265,186,75,-179,-64.82,1.46,5.17,3.45,6.50E+20,1640.6,43.8,138,5.2,6.5895,0.6200049142
G119.179+04.385-001.05,,119.179,4.385,992,510,150,-1.05,1.51,0.31,1.25,9.20E+20,210,42.9,376,15.7,2.3875,0.6412379592
G119.183+01.950-035.40,,119.183,1.95,196,104,69,-35.4,0.65,2.55,2.06,9.10E+20,823.2,61.8,327,1.2,3.9346,0.2760295851
G119.206-00.600-033.82,,119.206,-0.6,233,52,163,-33.82,0.83,2.43,1.5,8.10E+20,366.2,51.6,374,3.3,2.865,0.3524685471
G119.212-00.848-031.94,,119.212,-0.848,352,173,119,-31.94,2.24,2.28,3.21,2.80E+21,5276.1,163.3,556,3.5,6.1311,0.9512404163
G119.219+02.773-046.43,,119.219,2.773,232,53,118,-46.43,0.54,3.47,2.16,5.70E+20,562.8,38.2,192,1.3,4.1256,0.2293168861
G119.261-01.663-033.80,,119.261,-1.663,117,106,56,-33.8,0.73,2.43,1.53,7.20E+20,373.8,50.9,364,2.5,2.9223,0.3100024571
G119.261-04.573-010.79,,119.261,-4.573,203,119,107,-10.79,1.07,0.32,0.28,8.90E+20,17,69.7,2734,21.8,0.5348,0.4543871632
G119.289+00.583-000.84,,119.289,0.583,283,168,-146,-0.84,0.58,0.26,0.32,3.90E+20,7.8,23.9,810,16.1,0.6112,0.2463033221
G119.292+02.777-070.62,,119.292,2.777,232,109,77,-70.62,1.19,5.77,5.2,4.60E+20,1764.8,20.8,43,4.9,9.932,0.5053464712
G119.295-01.400-054.50,,119.295,-1.4,124,89,-177,-54.5,1.29,4.2,2.48,3.80E+20,368.3,19.1,84,13,4.7368,0.5478125612
G119.304+01.502-061.51,,119.304,1.502,770,537,57,-61.51,1.3,4.85,17.81,8.00E+20,34475.5,34.6,21,1,34.0171,0.5520591702
G119.336+02.471-049.02,,119.336,2.471,154,56,-149,-49.02,0.75,3.7,1.92,6.00E+20,530.8,45.8,260,2.3,3.6672,0.3184956751
G119.344-00.093-048.72,,119.344,-0.093,258,121,55,-48.72,0.67,3.68,3.7,5.50E+20,852.1,19.8,58,2.3,7.067,0.2845228031
G119.393-01.451-035.30,,119.393,-1.451,377,156,71,-35.3,0.94,2.55,3.53,1.50E+21,4839,123.7,383,0.7,6.7423,0.3991812461
G119.431+04.063-068.69,,119.431,4.063,195,101,72,-68.69,0.99,5.55,4.42,4.10E+20,1158.7,18.9,46,4.3,8.4422,0.4204142911
G119.466-04.165-009.03,,119.466,-4.165,570,427,63,-9.03,1.81,0.29,0.82,6.60E+20,62.6,29.9,399,49.3,1.5662,0.7686362293
G119.482+00.562-052.02,,119.482,0.562,871,255,64,-52.02,2.13,3.97,10.68,1.20E+21,19282.8,53.8,55,2.9,20.3988,0.9045277173
G119.553-02.011-039.24,,119.553,-2.011,154,89,141,-39.24,1.48,2.87,1.89,1.50E+21,971.5,86.4,498,5,3.6099,0.6284981322
G119.570+04.094-006.51,,119.57,4.094,346,74,161,-6.51,0.75,0.35,0.32,4.00E+20,7.2,22.1,746,29.1,0.6112,0.3184956751
G119.578+03.230-046.53,,119.578,3.23,271,214,100,-46.53,0.96,3.47,4.77,1.60E+21,9115.7,127.8,292,0.6,9.1107,0.4076744641
G119.583-00.015-048.09,,119.583,-0.015,298,70,-175,-48.09,0.76,3.62,2.96,7.40E+20,1620.5,58.9,217,1.2,5.6536,0.3227422841
G119.606+02.926-065.96,,119.606,2.926,100,82,-157,-65.96,1.2,5.28,2.67,5.30E+20,848.4,37.9,155,5.2,5.0997,0.5095930802
G119.622-00.735-032.59,,119.622,-0.735,308,78,-168,-32.59,0.77,2.32,2.04,7.80E+20,576.7,44,235,2.5,3.8964,0.3269888931
G119.622+03.914-064.56,,119.622,3.914,123,53,165,-64.56,1.12,5.13,2.31,5.00E+20,515.4,30.7,144,6.5,4.4121,0.4756202082
G119.629-00.497-049.99,,119.629,-0.497,330,137,135,-49.99,1.25,3.78,4.58,1.50E+21,7444.2,112.7,268,1.1,8.7478,0.5308261252
G119.631+03.906-068.76,,119.631,3.906,371,64,-142,-68.76,0.68,5.56,4.86,4.40E+20,1477.4,19.9,44,1.8,9.2826,0.2887694121
G119.646+00.281-033.88,,119.646,0.281,71,32,125,-33.88,1.26,2.42,0.6,4.60E+20,49.3,43.6,793,22.3,1.146,0.5350727342
G119.649+04.700-015.25,,119.649,4.7,129,67,59,-15.25,0.58,0.33,0.17,4.60E+20,2.1,23.3,1498,32,0.3247,0.2463033221
G119.656-03.769-017.91,,119.656,-3.769,329,140,100,-17.91,0.77,1.12,1.37,4.00E+20,67.9,11.5,91,13.8,2.6167,0.3269888931
G119.662+02.129-062.31,,119.662,2.129,116,38,77,-62.31,1.27,4.92,1.79,4.90E+20,326.6,32.4,197,10.3,3.4189,0.5393193432
G119.673+03.834-013.99,,119.673,3.834,268,119,149,-13.99,0.74,1.03,1.05,9.60E+20,250.8,73,762,2.7,2.0055,0.3142490661
G119.697+01.427-061.95,,119.697,1.427,130,112,71,-61.95,1.12,4.89,3.32,6.60E+20,1335.2,38.5,126,3.6,6.3412,0.4756202082
G119.722+02.966-068.15,,119.722,2.966,165,81,64,-68.15,1.01,5.5,3.59,8.50E+20,2139,52.7,160,2,6.8569,0.4289075091