GALAXY,ncl,r,e,vel disp,flux,mlum,mvir
ngc5068,2,57.28954161,0.8776320666,3.267677353,179935.3906,2368270.517,678125.2129
ngc5068,3,61.24748843,0.7255769078,4.71445922,82802.48875,1191022.645,1475833.216
ngc5068,4,72.42454288,0.9320802918,7.437795794,319453.8563,4291727.257,4107652.225
ngc5068,5,61.43493028,0.7630579368,4.884905184,217247.5789,2583052.606,1587707.565
ngc5068,6,17.26248523,0.952034899,1.623471131,12143.72802,171128.9334,52777.69873
ngc5068,7,92.42680332,0.904866673,4.916449702,416384.7936,5279095.007,2111623.469
ngc5068,9,51.22982891,0.6551313368,7.183715627,248801.0302,3911266.636,3042016.219
ngc5068,11,51.295871,0.899605866,3.844653597,106797.9444,1311428.231,872068.6914
ngc5068,13,89.88302212,0.9865700896,12.27600483,149108.9942,1226775.096,12922519.69
ngc5068,14,42.86679002,0.9307416603,5.979365895,172962.4411,2602183.966,1777825.834
ngc5068,17,59.93491239,0.8039296347,2.209431965,145386.5835,1403459.796,319493.8525
ngc5068,18,66.69284912,0.978055584,2.498862684,210011.516,1963917.531,438852.882
ngc5068,19,56.19741725,0.875232684,2.335611082,314224.1648,2986257.603,342026.6522
ngc5068,22,47.17479506,0.8562055236,4.200377827,229162.0026,3509508.038,965483.2104
ngc5068,23,59.16482248,0.7182936838,1.80038981,282958.0197,2802059.007,210324.6268
ngc5068,24,49.46355827,0.2702078346,3.557894923,144336.1361,1147156.26,726322.6366
ngc5068,27,43.77855509,0.9078138663,3.231501897,52211.99917,450949.4224,530308.0787
ngc5068,31,44.61113616,0.8139348292,2.13803037,132607.1072,1295712.951,236553.3011
ngc5068,32,36.38549257,0.9649602087,3.731337563,154026.9983,1365346.476,587645.3827
ngc5068,33,37.54274534,0.2851680763,1.473085556,71805.02374,535544.9943,94501.77351
ngc5068,34,47.63438663,0.9558327008,3.442551252,224397.556,2052754.986,654846.327
ngc5068,35,51.64260874,0.8603231593,1.277179488,139307.518,1172880.209,96669.76042
ngc5068,38,88.60730731,0.6876280352,4.962590698,180534.5983,1412495.57,2091757.161
ngc5068,39,66.45819047,0.9831653013,6.333976957,75688.93773,541495.8323,2812979.865
ngc5068,40,44.56360301,0.8986715491,4.335488505,240470.1696,1843473.411,971660.0884
ngc5068,41,77.69743206,0.7566404416,2.683288862,118835.2375,1252345.569,560256.9982
ngc5068,42,51.87183014,0.7975466251,4.026476795,134501.4719,1028900.69,963650.2514
ngc5068,43,48.47643854,0.8160299665,5.450115909,202583.31,2087595.169,1670321.888
ngc5068,45,36.37919439,0.9502313589,4.625596816,101124.5871,1197449.266,902914.4791
ngc5068,46,41.11437224,0.9827755732,2.184065798,77120.81793,877843.9792,227500.8841
ngc5068,47,88.13963942,0.8768639103,2.638588543,183951.7918,1517360.015,589258.0377
ngc5068,50,52.51169285,0.9562181956,3.958367135,319923.0319,2436206.502,938968.049
ngc5068,51,67.03411763,0.9084410341,3.860304758,202428.5365,2245809.096,1050884.79
ngc5068,53,67.96696474,0.8830383874,1.465830228,91741.83266,989068.8045,152925.739
ngc5068,56,102.9762309,0.8728752747,3.766790588,168511.6121,1857671.454,1332137.146
ngc5068,58,48.10695302,0.9871070171,7.319451185,157280.4156,1301616.856,2989667.41
ngc5068,60,46.17528231,0.8102673318,4.206974747,44118.1493,379623.2108,947997.864
ngc5068,62,26.34942302,0.7669816674,3.11471391,114302.6638,1074971.743,296527.8057
ngc5068,65,36.40073554,0.8050436672,4.101713491,276755.993,2699746.156,710393.1926
ngc5068,68,75.79396566,0.7502156911,0.7794287632,116633.6716,1197115.677,46496.89313
ngc5068,69,61.98547758,0.9147648821,3.672972094,215571.8198,1976890.454,902976.7106
ngc5068,71,90.95775319,0.8662038313,5.888203744,151054.9461,1905863.121,2996678.359
ngc5068,72,67.2153773,0.8990804905,3.829334563,366127.161,3517925.25,1035953.768
ngc5068,73,62.98619806,0.9427579774,2.132307835,87015.77721,1104214.796,307594.141